"","brevard2017_filter$PARUSEDESC","COUNT_PARUSE","brevard2017_filter$PARUSEDESC","(avg_LndVAL = mean(brevard2017_filter$LNDVAL, na.rm = TRUE))"
"1","VACANT COMMERCIAL",2941,"VACANT COMMERCIAL",18226.2177416669
"2","VACANT RESIDENTIAL",57121,"VACANT RESIDENTIAL",18226.2177416669
